id,physicalringname,lrname,aendname,bendname,distance,ibclink,priority,aendid,bendid,aendifIndex,bendifIndex,bendip,aendip,physicalsegments,remarks,confirmed,user_name,time_stamp,cluster_name,district_name,block_name
961,BERLA_Pink,Ring no.10,DEVRI,SINGDEHI,6.425,,Low,2764,2744,14,13,10.128.17.91,10.128.17.28,,,0,,,A2,BEMETARA,BERLA
962,BERLA_Pink,Ring no.10,SINGDEHI,BHEDANI,34.865,,Low,2744,2766,14,13,10.128.17.16,10.128.17.91,,,0,,,A2,Bemetara,Berla
963,BERLA_Pink,Ring no.10,BHEDANI,KHISORA,27.44,,Low,2766,2805,14,13,10.128.17.48,10.128.17.16,,,0,,,A2,BEMETARA,BERLA
964,BERLA_Pink,Ring no.10,KHISORA,SOTH,24.825,,Low,2805,2767,14,13,10.128.17.77,10.128.17.48,,,0,,,A2,BEMETARA,BERLA
965,BERLA_Pink,Ring no.10,SOTH,BERLA,8.59,,Low,2767,2511,14,13,10.128.0.16,10.128.17.77,,,0,,,A2,BEMETARA,BERLA
967,BERLA_Orange,Ring no.05SPUR,RAVELI,KHAMHARIYA,8.545,,Low,2712,2785,14,13,10.128.17.44,10.128.17.67,,,0,,,A2,BEMETARA,BERLA
968,BERLA_Pink,Ring no.08SPUR,KODAVA,SURUJPURA,4.85,,Low,2807,2762,14,13,10.128.17.79,10.128.17.52,,,0,,,A2,BEMETARA,BERLA
969,BERLA_Pink,Ring no.09SPUR,CHONGIKHAPARI,KUMHIGUDA,7.82,,Low,2772,2814,14,13,10.128.17.54,10.128.17.23,,,0,,,A2,BEMETARA,BERLA
970,BERLA_Blue,Ring no.02,PIRDA,BHARDA,0.0,,0,,,14,13,10.128.17.13,10.128.17.65,"132,121,122,123",,0,,,A2,BEMETARA,BERLA
972,BERLA_Blue,Ring no.02,BHALESHAR,HARDI,0.0,,0,,,14,13,10.128.17.36,10.128.17.10,117,,0,,,A2,BEMETARA,BERLA
973,BERLA_Blue,Ring no.02,HARDI,PIRDA,0.0,,0,2626,2674,14,13,10.128.17.65,10.128.17.36,118,,0,,,A2,BEMETARA,BERLA
975,BERLA_Blue,Ring no.01,BORIYA,GHATIYAKALA,0.0,,0,,,14,13,10.128.17.32,10.128.17.19,,,0,,,A2,BEMETARA,BERLA
