router_ip,ups_ip
10.128.11.15,10.131.13.46
10.128.11.16,10.131.13.50
10.128.11.17,10.131.13.54
10.128.0.11,10.131.13.58
10.128.11.19,10.131.13.62
10.128.0.11,10.131.96.26
10.128.0.11,10.131.96.30
10.128.11.23,10.131.96.34
10.128.0.11,10.131.96.38
10.128.11.6,10.131.13.6
10.128.0.11,10.131.0.42
10.128.92.14,10.131.91.50
10.128.92.15,10.131.91.54
10.128.92.30,10.131.91.114
10.128.92.31,10.131.91.118
10.128.92.16,10.131.91.58
10.128.92.32,10.131.91.122
10.128.92.17,10.131.91.62
10.128.92.33,10.131.91.126
10.128.92.42,10.131.91.162
10.128.92.18,10.131.91.66
10.128.92.35,10.131.91.134
10.128.92.36,10.131.91.138
10.128.92.20,10.131.91.74
10.128.92.43,10.131.91.166
10.128.92.37,10.131.91.142
10.128.92.21,10.131.91.78
10.128.92.38,10.131.91.146
10.128.92.22,10.131.91.82
10.128.92.39,10.131.91.150
10.128.92.44,10.131.91.170
10.128.92.23,10.131.91.86
10.128.92.40,10.131.91.154
10.128.92.25,10.131.91.94
10.128.92.45,10.131.91.174
10.128.0.83,10.131.91.158
10.128.92.26,10.131.91.98
10.128.0.83,10.131.1.74
10.128.92.27,10.131.91.102
10.128.92.1,10.131.90.254
10.128.92.46,10.131.91.178
10.128.92.2,10.131.91.2
10.128.92.47,10.131.91.182
10.128.92.3,10.131.91.6
10.128.92.48,10.131.101.134
10.128.92.6,10.131.91.18
10.128.0.83,10.131.101.138
10.128.92.7,10.131.91.22
10.128.92.9,10.131.91.30
10.128.0.83,10.131.101.142
10.128.92.10,10.131.91.34
10.128.92.11,10.131.91.38
10.128.92.51,10.131.101.146
10.128.92.4,10.131.91.10
10.128.92.52,10.131.101.150
10.128.92.12,10.131.91.42
10.128.92.13,10.131.91.46
10.128.0.83,10.131.101.154
10.128.0.10,10.131.0.38
10.128.10.6,10.131.11.246
10.128.10.4,10.131.11.238
10.128.0.84,10.131.1.78
10.128.93.52,10.131.92.134
10.128.93.32,10.131.92.54
10.128.93.10,10.131.91.222
10.128.10.26,10.131.12.78
10.128.10.8,10.131.11.254
10.128.93.26,10.131.92.30
10.128.10.1,10.131.11.226
10.128.10.30,10.131.12.94
10.128.10.20,10.131.12.54
10.128.10.15,10.131.12.34
10.128.10.60,10.131.12.214
10.128.0.48,10.131.0.190
10.128.52.12,10.131.52.38
10.128.10.33,10.131.12.106
10.128.52.29,10.131.52.106
10.128.93.33,10.131.92.58
10.128.52.28,10.131.52.102
10.128.10.58,10.131.12.206
10.128.10.64,10.131.12.230
