router_ip,ups_ip
10.128.8.59,10.131.10.66
10.128.8.36,10.131.9.230
10.128.8.14,10.131.9.142
10.128.8.51,10.131.10.34
10.128.8.34,10.131.9.222
10.128.8.13,10.131.9.138
10.128.8.15,10.131.9.146
10.128.8.11,10.131.9.130
10.128.8.32,10.131.9.214
10.128.8.105,10.131.102.134
10.128.8.30,10.131.9.206
10.128.8.96,10.131.102.98
10.128.8.94,10.131.102.90
10.128.8.25,10.131.9.186
10.128.8.90,10.131.102.74
10.128.8.24,10.131.9.182
10.128.8.106,10.131.102.138
10.128.8.18,10.131.9.158
10.128.8.20,10.131.9.166
10.128.17.82,10.131.18.42
