ip,devicetype
10.128.54.16,GP_ROUTER
10.128.54.33,GP_ROUTER
10.131.54.6,GP_UPS
10.131.53.194,GP_UPS
10.128.53.3,GP_ROUTER
10.131.52.210,GP_UPS
10.128.53.6,GP_ROUTER
10.131.52.222,GP_UPS
10.128.54.35,GP_ROUTER
10.128.54.18,GP_ROUTER
10.131.54.14,GP_UPS
10.131.53.202,GP_UPS
10.128.0.50,BLOCK_ROUTER
10.131.0.198,BLOCK_UPS
10.128.53.7,GP_ROUTER
10.131.52.226,GP_UPS
10.128.54.36,GP_ROUTER
10.131.54.18,GP_UPS
10.128.54.19,GP_ROUTER
10.131.53.206,GP_UPS
10.128.54.1,GP_ROUTER
10.131.53.134,GP_UPS
10.128.53.9,GP_ROUTER
10.128.54.37,GP_ROUTER
10.131.52.234,GP_UPS
10.131.54.22,GP_UPS
10.128.54.2,GP_ROUTER
10.128.54.20,GP_ROUTER
10.131.53.210,GP_UPS
10.131.53.138,GP_UPS
10.128.54.38,GP_ROUTER
10.131.54.26,GP_UPS
10.128.53.10,GP_ROUTER
10.131.52.238,GP_UPS
10.128.54.21,GP_ROUTER
10.131.53.214,GP_UPS
10.128.54.3,GP_ROUTER
10.131.53.142,GP_UPS
10.128.54.39,GP_ROUTER
10.131.54.30,GP_UPS
10.128.53.14,GP_ROUTER
10.131.52.254,GP_UPS
10.128.54.22,GP_ROUTER
10.128.54.41,GP_ROUTER
10.128.54.4,GP_ROUTER
10.131.53.218,GP_UPS
10.131.54.38,GP_UPS
10.131.53.146,GP_UPS
10.128.53.15,GP_ROUTER
10.128.54.42,GP_ROUTER
10.131.53.2,GP_UPS
10.131.54.42,GP_UPS
10.128.54.23,GP_ROUTER
10.128.54.5,GP_ROUTER
10.131.53.222,GP_UPS
10.131.53.150,GP_UPS
10.128.54.43,GP_ROUTER
10.128.54.24,GP_ROUTER
10.131.54.46,GP_UPS
10.131.53.226,GP_UPS
10.128.53.18,GP_ROUTER
10.131.53.14,GP_UPS
10.128.54.44,GP_ROUTER
10.128.54.25,GP_ROUTER
10.131.54.50,GP_UPS
